Week,Port,Supplier,PO,Container,Vessel,QualityComment,Score,Defects
1,ANVERS,LAS BRISAS,2200394,UAEU1253800,CAPE ALTIUS V,"10% to 25% of fruits are affected by base molds 
2 pallets arrived highly dehydrated 
We make reserve ",2,Mould
1,ANVERS,LAS BRISAS,2200390,NIDU6505433,CAPE ALTIUS V,"Average of 40% of fruits are affected by base molds 
2 pallets arrived highly dehydrated 
We make reserve ",2,Mould
1,ANVERS,LAS BRISAS,2200399,HLBU9179015,CAPE ALTIUS V,"CLassic size 9 and Metro size 7: important presence of base molds +30% 
Presence of underweights on metro and classic ",2,"Mould, Underweights"
1,ANVERS,LAS BRISAS,2200398,HLBU9558641,CAPE ALTIUS V,"Crownless: 10 % of fruits are affected by internal translucency (increase of molds)
Classic: correct ",2,Translucency
1,ANVERS,PCC,2200407,HLBU9620959,CAPE ALTIUS V,Direct container - report will be sent later on,4,
1,ANVERS,ACON,2200409,HLBU9364857,CAPE ALTIUS V,Direct container - report will be sent later on,4,
1,ANVERS,ACON,2200410,SEGU9376913,CAPE ALTIUS V,Direct container - report will be sent later on,4,
1,ANVERS,TDV,2200412,HLBU9631716,CAPE ALTIUS V,Direct container - report will be sent later on,4,
1,ANVERS,LAS BRISAS,2200401,HLBU9927170,CAPE ALTIUS V,"Evident presence of mold formation, frequent internal defects, occasional brown leaves and Some pallets with damage boxes, claims to be expected.",2,"Translucency, Mould, Brown leaves"
1,ANVERS,NORTENAS,2200389,HLBU9031162,CAPE ALTIUS V,"Evident presence of overmaturity, signs of dehydration, bruising  and occasional mold formation. Claims to be expected.",2,"Mould, Overmaturity, Dehydration/Pitting, Bruising"
1,ANVERS,LAS BRISAS,2200392,HLBU9365880,CAPE ALTIUS V,Good quality in general,4,
1,ANVERS,LAS BRISAS,2200393,HLBU9365473,CAPE ALTIUS V,Good quality in general,4,
1,ANVERS,LAS BRISAS,2200400,HLBU9177389,CAPE ALTIUS V,Important presence of molds - Average of 30% ,2,Mould
1,ANVERS,PCC,2200408,HLBU6142753,CAPE ALTIUS V,"Isolated presence of brown leaves, underweight noted",4,
